Dublin Core:Title,Dublin Core:Identifier,File,Dublin Core:Creator,Dublin Core:Date,Dublin Core:County,Dublin Core:Subject,Dublin Core: State,Dublin Core:Rights,Dublin Core:Format,Item Type Metadata:Physical Dimensions,Dublin Core:Language,Item Type,Dublin Core:Coverage,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,geolocation:map_type,geolocation:address
"Scottsboro, Ky. by James Evans",380,http://mappalachia.org/pictures/gallery/full_size/map_380.jpg,James Evans,,Jackson,Scottsboro,Ky.,Rights Reserved by: James Evans,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.7515163,-86.1701693,10,,
"Birmingham, Ala. by Marcia Marbury",381,http://mappalachia.org/pictures/gallery/full_size/map_381.jpg,Marcia Marbury,1990,Jefferson,Birmingham,Ala.,Rights Reserved by: Marcia Marbury,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,33.5185892,-86.8103567,10,,
"Canaan Heights, W.Va. by James Myers",382,http://mappalachia.org/pictures/gallery/full_size/map_382.jpg,James Myers,,Tucker,Canaan Heights,W.Va.,Rights Reserved by: James Myers,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.1254028,-79.3825401,10,,
"Pound, Ky. by Judy Kennedy",383,http://mappalachia.org/pictures/gallery/full_size/map_383.jpg,Judy Kennedy,,Wise,Pound,Ky.,Rights Reserved by: Judy Kennedy,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.932522,-82.7089636,10,,
"Jamestown, Ky. by Lorene Popplewell",384,http://mappalachia.org/pictures/gallery/full_size/map_384.jpg,Lorene Popplewell,1990,Russell,Jamestown,Ky.,Rights Reserved by: Lorene Popplewell,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9847899,-85.06301,10,,
"Jeremiah, Ky. by Jeanne Back",385,http://mappalachia.org/pictures/gallery/full_size/map_385.jpg,Jeanne Back,1963,Letcher,Jeremiah,Ky.,Rights Reserved by: Jeanne Back,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.1673196,-82.9290502,10,,
"Balsam, N.C. by Keith Brookshire",386,http://mappalachia.org/pictures/gallery/full_size/map_386.jpg,Keith Brookshire,1990,Jackson,Balsam,N.C.,Rights Reserved by: Keith Brookshire,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.4267683,-83.0851405,10,,
"Cumberland, Ky. by Jeanne Harden",387,http://mappalachia.org/pictures/gallery/full_size/map_387.jpg,Jeanne Harden,,Harden,Cumberland,Ky.,Rights Reserved by: Jeanne Harden,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9781475,-82.9884955,10,,
"Berea, Ky. by Janet White",388,http://mappalachia.org/pictures/gallery/full_size/map_388.jpg,Janet White,1990,Madison,Berea,Ky.,Rights Reserved by: Janet White,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Baisden, Ky. by Jerry Thompson",389,http://mappalachia.org/pictures/gallery/full_size/map_389.jpg,Jerry Thompson,1965,Gilbert,Baisden,Ky.,Rights Reserved by: Jerry Thompson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6142758,-81.8665068,10,,
"Pittsburgh, Pa. by Chris Field",390,http://mappalachia.org/pictures/gallery/full_size/map_390.jpg,Chris Field,1990,Allegheny,Pittsburgh,Pa.,Rights Reserved by: Chris Field,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,40.4519933,-80.0157633,10,,
"Anstead, Ky. by Jo Nuckols",391,http://mappalachia.org/pictures/gallery/full_size/map_391.jpg,Jo Nuckols,1952,Fayette,Anstead,Ky.,Rights Reserved by: Jo Nuckols,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.0606478,-84.4802606,10,,
"Greenville, Tenn. by John Milligan",392,http://mappalachia.org/pictures/gallery/full_size/map_392.jpg,John Milligan,,Greene,Greenville,Tenn.,Rights Reserved by: John Milligan,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.1631574,-82.8309861,10,,
"Garret, Ky. by John Trusty",394,http://mappalachia.org/pictures/gallery/full_size/map_394.jpg,John Trusty,,Garret,Garret,Ky.,Rights Reserved by: John Trusty,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.4798212,-82.8315501,10,,
"Cincinnati, Ohio by Monic Hill",395,http://mappalachia.org/pictures/gallery/full_size/map_395.jpg,Monic Hill,1989,Hamilton,Cincinnati,Ohio,Rights Reserved by: Monic Hill,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.1031182,-84.5120196,10,,
"Berea, Ky. by Mike Wehrte",396,http://mappalachia.org/pictures/gallery/full_size/map_396.jpg,Mike Wehrte,1989,Madison,Berea,Ky.,Rights Reserved by: Mike Wehrte,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Morganton, N.C. by Joyce Ross",397,http://mappalachia.org/pictures/gallery/full_size/map_397.jpg,Joyce Ross,,Burke,Morganton,N.C.,Rights Reserved by: Joyce Ross,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.7454071,-81.6848188,10,,
"Scottsboro, Ala. by Lila Johnson",398,http://mappalachia.org/pictures/gallery/full_size/map_398.jpg,Lila Johnson,1989,Jackson,Scottsboro,Ala.,Rights Reserved by: Lila Johnson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.6723069,-86.0341463,10,,
"Berea, Ky. by John B. Fowler",399,http://mappalachia.org/pictures/gallery/full_size/map_399.jpg,John B. Fowler,,Madison,Berea,Ky.,Rights Reserved by: John B. Fowler,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Asheville, N.C. by Janet Longley",400,http://mappalachia.org/pictures/gallery/full_size/map_400.jpg,Janet Longley,1989,Buncombe,Asheville,N.C.,Rights Reserved by: Janet Longley,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.5950581,-82.5514869,10,,
"Hazard, Ky. by Albert Robbins",401,http://mappalachia.org/pictures/gallery/full_size/map_401.jpg,Albert Robbins,1955,Perry,Hazard,Ky.,Rights Reserved by: Albert Robbins,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.24954,-83.1932284,10,,
"Unknown, W.Va. by Jack Larwa",402,http://mappalachia.org/pictures/gallery/full_size/map_402.jpg,Jack Larwa,1989,Roane,Unknown,W.Va.,Rights Reserved by: Jack Larwa,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.7564882,-81.4278984,10,,
"Middlesboro, Ky. by Bobby Colgaw",403,http://mappalachia.org/pictures/gallery/full_size/map_403.jpg,Bobby Colgaw,1955,Bell,Middlesboro,Ky.,Rights Reserved by: Bobby Colgaw,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.6072567,-83.7142848,10,,
"Grayson, Ky. by Jack Evans",404,http://mappalachia.org/pictures/gallery/full_size/map_404.jpg,Jack Evans,1989,Carter,Grayson,Ky.,Rights Reserved by: Jack Evans,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.3300669,-82.9377785,10,,
"Cincinnati, Ohio by Greg West",405,http://mappalachia.org/pictures/gallery/full_size/map_405.jpg,Greg West,1989,Hamilton,Cincinnati,Ohio,Rights Reserved by: Greg West,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.1031182,-84.5120196,10,,
"Hatfield, W.Va. by Cecil Hatfield Williamson",406,http://mappalachia.org/pictures/gallery/full_size/map_406.jpg,Cecil Hatfield Williamson,1955,Mingo,Hatfield,W.Va.,Rights Reserved by: Cecil Hatfield Williamson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7276,-82.3159754,10,,
"Kingsport, Tenn. by Bill Leheuru",407,http://mappalachia.org/pictures/gallery/full_size/map_407.jpg,Bill Leheuru,1956,Sullivan-Hawkins,Kingsport,Tenn.,Rights Reserved by: Bill Leheuru,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.4786561,-82.5938137,10,,
"Unknown, Ky. by Chris King",408,http://mappalachia.org/pictures/gallery/full_size/map_408.jpg,Chris King,1989,McCreary,Unknown,Ky.,Rights Reserved by: Chris King,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.6973499,-84.4802606,10,,
"Jeff, Ky. by Delbert Combs",409,http://mappalachia.org/pictures/gallery/full_size/map_409.jpg,Delbert Combs,1956,Perry,Jeff,Ky.,Rights Reserved by: Delbert Combs,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.2050956,-83.136281,10,,
"Asheville, N.C. by Carol Longley",410,http://mappalachia.org/pictures/gallery/full_size/map_410.jpg,Carol Longley,1989,Buncombe,Asheville,N.C.,Rights Reserved by: Carol Longley,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.5950581,-82.5514869,10,,
