Dublin Core:Title,Dublin Core:Identifier,File,Dublin Core:Creator,Dublin Core:Date,Dublin Core:County,Dublin Core:Subject,Dublin Core: State,Dublin Core:Rights,Dublin Core:Format,Item Type Metadata:Physical Dimensions,Dublin Core:Language,Item Type,Dublin Core:Coverage,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,geolocation:map_type,geolocation:address
"Unknown, Ky. by Willard Hones",526,http://mappalachia.org/pictures/gallery/full_size/map_526.jpg,Willard Hones,,Knox,Unknown,Ky.,Rights Reserved by: Willard Hones,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9260578,-83.8897057,10,,
"Laurel Branch, Va. by Wilma J. Hylton",527,http://mappalachia.org/pictures/gallery/full_size/map_527.jpg,Wilma J. Hylton,1959,Floyd,Laurel Branch,Va.,Rights Reserved by: Wilma J. Hylton,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9130022,-80.3716392,10,,
"Swannannoa, N.C. by Yvonne Deal",528,http://mappalachia.org/pictures/gallery/full_size/map_528.jpg,Yvonne Deal,,Buncombe,Swannannoa,N.C.,Rights Reserved by: Yvonne Deal,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.5978935,-82.3998431,10,,
"Beattyville, Ky. by Donna Clames",529,http://mappalachia.org/pictures/gallery/full_size/map_529.jpg,Donna Clames,1966,Lee,Beattyville,Ky.,Rights Reserved by: Donna Clames,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.5717532,-83.7068597,10,,
"Haysi, Va. by Cleta Counts",530,http://mappalachia.org/pictures/gallery/full_size/map_530.jpg,Cleta Counts,1973,Dickenson,Haysi,Va.,Rights Reserved by: Cleta Counts,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.205387,-82.2940326,10,,
"Berea, Ky. by Tina Hallam",531,http://mappalachia.org/pictures/gallery/full_size/map_531.jpg,Tina Hallam,1977,Madison,Berea,Ky.,Rights Reserved by: Tina Hallam,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Berea, Ky. by",532,http://mappalachia.org/pictures/gallery/full_size/map_532.jpg,,,Madison,Berea,Ky.,Rights Reserved by:,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Hardin Valley, Tenn. by Carl Hoefer",533,http://mappalachia.org/pictures/gallery/full_size/map_533.jpg,Carl Hoefer,1976,Knox,Hardin Valley,Tenn.,Rights Reserved by: Carl Hoefer,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.9392984,-84.172896,10,,
"Ashland, Ky. by Cathy Adkins",534,http://mappalachia.org/pictures/gallery/full_size/map_534.jpg,Cathy Adkins,,Boyd,Ashland,Ky.,Rights Reserved by: Cathy Adkins,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.4784144,-82.6379387,10,,
"Altmont, Ky. by Charlene Plemmons",535,http://mappalachia.org/pictures/gallery/full_size/map_535.jpg,Charlene Plemmons,1970,Grundy,Altmont,Ky.,Rights Reserved by: Charlene Plemmons,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.4295186,-85.7230316,10,,
"Unknown, Ky. by Dexter Cohen",536,http://mappalachia.org/pictures/gallery/full_size/map_536.jpg,Dexter Cohen,,Unknown,Unknown,Ky.,Rights Reserved by: Dexter Cohen,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8393332,-84.2700179,10,,
"Jeff, Ky. by Don Beatty",537,http://mappalachia.org/pictures/gallery/full_size/map_537.jpg,Don Beatty,,Unknown,Jeff,Ky.,Rights Reserved by: Don Beatty,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.2050956,-83.136281,10,,
"Oceana, Ky. by Donna Brown",538,http://mappalachia.org/pictures/gallery/full_size/map_538.jpg,Donna Brown,,Wyoming,Oceana,Ky.,Rights Reserved by: Donna Brown,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6920553,-81.6239985,10,,
"Hegira, Ky. by Donnie Munay",539,http://mappalachia.org/pictures/gallery/full_size/map_539.jpg,Donnie Munay,,Cumberland,Hegira,Ky.,Rights Reserved by: Donnie Munay,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.7067304,-85.2760719,10,,
"Anstead, Ky. by Dorothy E. Skaggs",540,http://mappalachia.org/pictures/gallery/full_size/map_540.jpg,Dorothy E. Skaggs,,Fayette,Anstead,Ky.,Rights Reserved by: Dorothy E. Skaggs,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.0606478,-84.4802606,10,,
"Berea, Ky. by Ellen Carpenter",541,http://mappalachia.org/pictures/gallery/full_size/map_541.jpg,Ellen Carpenter,,Madison,Berea,Ky.,Rights Reserved by: Ellen Carpenter,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Mudlick, Ky. by Emily Scott",542,http://mappalachia.org/pictures/gallery/full_size/map_542.jpg,Emily Scott,1959,Monroe,Mudlick,Ky.,Rights Reserved by: Emily Scott,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.7528335,-85.7805304,10,,
"Hazel Green, Ky. by E. T. Kash Jr.",543,http://mappalachia.org/pictures/gallery/full_size/map_543.jpg,E. T. Kash Jr.,,Wolfe,Hazel Green,Ky.,Rights Reserved by: E. T. Kash Jr.,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.797587,-83.4165715,10,,
"Elliotville, Ky. by Eugene Fraley",544,http://mappalachia.org/pictures/gallery/full_size/map_544.jpg,Eugene Fraley,,Rowan,Elliotville,Ky.,Rights Reserved by: Eugene Fraley,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1828602,-83.2757346,10,,
"Unknown, Ky. by Eugene Holbrook",545,http://mappalachia.org/pictures/gallery/full_size/map_545.jpg,Eugene Holbrook,1964,Letcher,Unknown,Ky.,Rights Reserved by: Eugene Holbrook,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.125351,-82.8640623,10,,
"Jellico, Tenn. by Finley Laye",546,http://mappalachia.org/pictures/gallery/full_size/map_546.jpg,Finley Laye,,Campbell,Jellico,Tenn.,Rights Reserved by: Finley Laye,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.5878591,-84.1268741,10,,
"Hatfield, Ky. by Floyd K. Bevins",547,http://mappalachia.org/pictures/gallery/full_size/map_547.jpg,Floyd K. Bevins,1960,Pike,Hatfield,Ky.,Rights Reserved by: Floyd K. Bevins,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7245437,-82.3684776,10,,
"Beattyville, Ky. by G.T. Blakey Jr.",548,http://mappalachia.org/pictures/gallery/full_size/map_548.jpg,G.T. Blakey Jr.,,Lee,Beattyville,Ky.,Rights Reserved by: G.T. Blakey Jr.,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.5717532,-83.7068597,10,,
